Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Bid,Ask
45512,79.16,0.83,0.010596196,78.55,77.63,79.37,320083,78.94,78.98
45511,78.33,1.85,0.024189331,76.16,75.95,78.87,444744,78.55,78.61
45510,76.48,0.18,0.002359109,77.45,75.58,77.85,393032,76.1,76.15
45509,76.3,-0.51,-0.00663976,77.61,75.05,77.74,557814,77.21,77.3
45506,76.81,-2.71,-0.034079477,79.98,76.42,80.46,501310,77.48,77.56
45505,79.52,-1.2,-0.014866204,81.44,79.43,81.8,364930,79.98,80.05
45504,80.72,2.09,0.026580186,79.02,79.02,80.95,12089,80.72,80.76
45503,78.63,-1.15,-0.01441464,79.64,78.43,79.99,87783,79.14,79.18
45502,79.78,-1.35,-0.016639961,81.3,79.36,81.74,132252,79.83,79.88
45499,81.13,-1.24,-0.015054025,82.4,80.33,82.71,204946,80.55,80.63
45498,82.37,0.66,0.008077347,81.58,80.09,82.53,332159,82.4,82.43
45497,81.71,0.7,0.008640909,81.46,80.93,82.23,298195,81.47,81.59
45496,81.01,-1.39,-0.016868932,82.25,80.51,82.79,384324,81.55,81.58
45495,82.4,-0.23,-0.002783493,82.8,81.6,83.22,341722,82.26,82.28
45492,82.63,-2.48,-0.029138762,84.72,82.56,85.35,362336,82.59,82.62
45491,85.11,0.03,0.000352609,85.23,84.22,85.81,368318,84.81,84.85
45490,85.08,1.35,0.016123253,83.66,83.43,85.2,325399,85.18,85.2
45489,83.73,-1.12,-0.013199764,84.78,83.3,84.86,327853,83.85,83.88
45488,84.85,-0.18,-0.0021169,85.1,84.42,85.37,229269,84.88,84.89
45485,85.03,-0.37,-0.004332553,85.69,84.95,86.35,363928,85.21,85.27
45484,85.4,0.32,0.003761166,85.45,84.64,85.89,336696,85.56,85.6
45483,85.08,0.42,0.004961021,84.92,84,85.66,401561,85.39,85.45
45482,84.66,-1.09,-0.01271137,85.67,84.53,85.85,354292,84.98,85.02
45481,85.75,-0.79,-0.009128727,86.74,85.56,86.92,303583,85.67,85.69
45478,86.54,-0.89,-0.010179572,87.45,86.49,87.95,265302,86.85,86.9
45477,87.43,0.09,0.001030456,87.09,86.51,87.59,179039,87.55,87.56
